iter	Logloss
218	0.2140679294
219	0.2139005349
220	0.2137265932
221	0.213668235
222	0.2135294638
223	0.2132901615
224	0.2132268678
225	0.2131941968
226	0.2130461716
227	0.2128012656
228	0.2127028588
229	0.2126738008
230	0.212648109
231	0.2125987782
232	0.2125704545
233	0.2124502877
234	0.2123448962
235	0.2121480822
236	0.211960551
237	0.2119238231
238	0.2117540565
239	0.2114230674
240	0.2113775909
241	0.21131115
242	0.2112517803
243	0.2110236367
244	0.2108613158
245	0.2107701581
246	0.210522824
247	0.2104264955
248	0.2103781637
249	0.2102864923
250	0.2102693764
251	0.2101833106
252	0.2100382477
253	0.2099159348
254	0.2098732589
255	0.2098463479
256	0.2097420049
257	0.2096236981
258	0.2095186021
259	0.2094915814
260	0.2094427
261	0.2093694807
262	0.2092811868
263	0.2091888932
264	0.2090861284
265	0.2088676077
266	0.208701779
267	0.2086695948
268	0.208632131
269	0.2085515121
270	0.2085155131
271	0.2083250611
272	0.2082753249
273	0.2082375956
274	0.2082047285
275	0.208028491
276	0.2079277542
277	0.2075918848
278	0.2075189818
279	0.2074653762
280	0.2074154696
281	0.2070751835
282	0.2069421865
283	0.2068341181
284	0.2063606638
285	0.2060477161
286	0.2058758525
287	0.2058579599
288	0.2055438867
289	0.2055063647
290	0.2053789089
291	0.2052922153
292	0.2052726544
293	0.205250791
294	0.2052209143
295	0.2049981464
296	0.2046340744
297	0.2045518007
298	0.2042673748
299	0.2042380005
300	0.2040141377
301	0.2037186723
302	0.2035132622
303	0.2033972141
304	0.2031726338
305	0.2030656514
306	0.2029570724
307	0.2029379283
308	0.2028468121
309	0.2026840413
310	0.2025897871
311	0.2023121786
312	0.2021169841
313	0.2020847027
314	0.2019936237
315	0.2017529115
316	0.2016865818
317	0.2016097248
318	0.2013480209
319	0.2013324534
320	0.2012416961
321	0.2012119308
322	0.2011845342
323	0.2011571014
324	0.2008169119
325	0.2006500609
326	0.2006157544
327	0.2004211787
328	0.2003972905
329	0.2003420239
330	0.2002736132
331	0.2001884935
332	0.2001585671
333	0.2001209397
334	0.2001003138
335	0.1999970183
336	0.1999611811
337	0.1998974951
338	0.1998773699
339	0.19979451
340	0.1997682731
341	0.1997462487
342	0.1994641639
343	0.1994414042
344	0.199195033
345	0.1991328263
346	0.1991006272
347	0.1990379819
348	0.1989324638
349	0.1988299922
350	0.1986959458
351	0.1986366264
352	0.1985562286
353	0.1984622496
354	0.198428767
355	0.1984038305
356	0.1983124544
357	0.198221242
358	0.1981403294
359	0.1981056449
360	0.1980505441
361	0.1978518149
362	0.1977712742
363	0.1977417597
364	0.1976731873
365	0.1976530321
366	0.1976367156
367	0.1975824366
368	0.1975678738
369	0.1975478435
370	0.1974447284
371	0.1974233309
372	0.1973390755
373	0.1973235561
374	0.1972992126
375	0.1972768996
376	0.1971254817
377	0.1970986774
378	0.197075615
379	0.1970237606
380	0.1969019986
381	0.1968418605
382	0.1967872653
383	0.1967387713
384	0.1967099381
385	0.196638009
386	0.196615103
387	0.1966031069
388	0.1965436407
389	0.1965258311
390	0.196499895
391	0.1963917126
392	0.1963785062
393	0.19636541
394	0.1962984909
395	0.196275554
396	0.1962290045
397	0.1962060789
398	0.1961554269
399	0.1961376277
400	0.1961230818
401	0.1960726405
402	0.1960584991
403	0.1960012765
404	0.1959020717
405	0.1955959193
406	0.1955823753
407	0.1955242531
408	0.1954555696
409	0.195321355
410	0.1952800447
411	0.195208241
412	0.1951459312
413	0.1951340963
414	0.1950861467
415	0.1950726769
416	0.1950225473
417	0.1949998907
418	0.1949576466
419	0.1949057983
420	0.1948340525
421	0.1948202472
422	0.1948056803
423	0.194793412
424	0.1947793758
425	0.1945934651
426	0.1945585719
427	0.1945500205
428	0.1944470906
429	0.1944317468
430	0.1943859293
431	0.1943759688
432	0.1943403184
433	0.1943300271
434	0.1942966048
435	0.1942177496
436	0.1941803428
437	0.1941508919
438	0.1940049746
439	0.1939854281
440	0.1939723869
441	0.1939080057
442	0.1938891438
443	0.1937762453
444	0.1936370957
445	0.1936192894
446	0.1936022504
447	0.1935854149
448	0.1935382644
449	0.1935250637
450	0.1935123856
451	0.1934936676
452	0.1934555876
453	0.1934371959
454	0.1934239331
455	0.1933474968
456	0.193335363
457	0.1932922481
458	0.1932800913
459	0.1932665665
460	0.1932372644
461	0.1931494826
462	0.1930904936
463	0.193076252
464	0.1930669235
465	0.1930538342
466	0.1930319223
467	0.1930163396
468	0.1930046531
469	0.1929932741
470	0.1929803741
471	0.1929675771
472	0.1929386226
473	0.1928027213
474	0.1927898623
475	0.1927308366
476	0.1926692203
477	0.1926552384
478	0.1926456284
479	0.1926327873
480	0.1925829145
481	0.1925186553
482	0.192504584
483	0.1924937269
484	0.1924703638
485	0.1924386294
486	0.1923011816
487	0.1922852512
488	0.1922714961
489	0.1922624092
490	0.1922406709
491	0.1922345887
492	0.1921735601
493	0.1921560914
494	0.1921452973
495	0.1921355844
496	0.1920774816
497	0.1920463582
498	0.1920092613
499	0.1919295279
