iter	Logloss
0	0.6501320969
1	0.6120418121
2	0.5790829527
3	0.5505984673
4	0.5256809269
5	0.5030395375
6	0.4819889661
7	0.4646574452
8	0.4492700689
9	0.4360325545
10	0.4234833717
11	0.413352276
12	0.4039939088
13	0.395551012
14	0.3863664939
15	0.3800872021
16	0.3732468241
17	0.3680053884
18	0.3631649215
19	0.3580341924
20	0.3536656022
21	0.350023408
22	0.3436803764
23	0.3392621162
24	0.334086575
25	0.3316909342
26	0.3295175405
27	0.3262853787
28	0.3229092616
29	0.3202257047
30	0.3182581879
31	0.3158198815
32	0.3132675344
33	0.3120661879
34	0.310859297
35	0.3092136412
36	0.3060964137
37	0.3040917253
38	0.3032431453
39	0.3003182204
40	0.2978388853
41	0.2964064138
42	0.2943273796
43	0.2924957901
44	0.2908364933
45	0.289470266
46	0.2883741993
47	0.2861874562
48	0.2852560685
49	0.2840011778
50	0.2831323797
51	0.2827468644
52	0.2818943678
53	0.2814991498
54	0.2804821139
55	0.2789527173
56	0.2781948936
57	0.2770367708
58	0.2763542314
59	0.2753620096
60	0.2741771721
61	0.2723689974
62	0.2720636973
63	0.2709916662
64	0.2701287332
65	0.2682836993
66	0.2663525082
67	0.2649572809
68	0.2635376594
69	0.2628071966
70	0.2619034758
71	0.2616202169
72	0.261359541
73	0.2602995657
74	0.2596701699
75	0.2591742213
76	0.2581332777
77	0.257603473
78	0.2573259352
79	0.25640512
80	0.2562067051
81	0.2557516353
82	0.2555878155
83	0.2546338962
84	0.25356944
85	0.2523185193
86	0.2514839911
87	0.2510299968
88	0.2507058878
89	0.2503334811
90	0.2501944137
91	0.2492434428
92	0.2488973441
93	0.2485486413
94	0.2479779994
95	0.2474946898
96	0.247089682
97	0.2469710915
98	0.2459391138
99	0.2455576731
100	0.2440641845
101	0.2439020216
102	0.2437712025
103	0.2433574975
104	0.2425675047
105	0.2424262163
106	0.2416647306
107	0.2413715586
108	0.2405242953
109	0.2393114447
110	0.2390454419
111	0.2389071396
112	0.2384863438
113	0.2383888308
114	0.2381067847
115	0.2375965596
116	0.2371951951
117	0.2365962821
118	0.2362260875
119	0.2360026161
120	0.2356947325
121	0.2356018365
122	0.2354323957
123	0.2352589578
124	0.2342432274
125	0.233453831
126	0.232766948
127	0.2321363215
128	0.2317807585
129	0.2317072315
130	0.2313773438
131	0.2310886435
132	0.2307865485
133	0.2302872469
134	0.2300211305
135	0.2296431578
136	0.2294093234
137	0.2290453379
138	0.2284546073
139	0.2282703066
140	0.2277473895
141	0.2270368373
142	0.2268888264
143	0.2265120265
144	0.2263567974
145	0.2261583957
146	0.2261066864
147	0.2260280548
148	0.2256489763
149	0.2253832187
150	0.2252926544
151	0.2249234938
152	0.2245828843
153	0.2243893579
154	0.2241440629
155	0.2239043044
156	0.2236789648
157	0.2235583517
158	0.2233600992
159	0.2232061339
160	0.2230338539
161	0.2228721191
162	0.2227016595
163	0.222381223
164	0.2223235025
165	0.2219890207
166	0.2218976237
167	0.2218235305
168	0.2216971189
169	0.2216126519
170	0.2213272593
171	0.2212464643
172	0.2211015202
173	0.2210227523
174	0.2208546989
175	0.2207683979
176	0.2207086045
177	0.220521489
178	0.2202088272
179	0.2201480618
180	0.2199893876
181	0.2199193034
182	0.2198791798
183	0.2196186061
184	0.2194974749
185	0.219387688
186	0.2189628037
187	0.2189133882
188	0.2186069436
189	0.2185513121
190	0.2182586156
191	0.2182169395
192	0.2179780575
193	0.2176187083
194	0.2174861119
195	0.2173245877
196	0.2172699074
197	0.2170522719
198	0.2170060984
199	0.216699649
200	0.2165375602
201	0.21646716
202	0.2163187448
203	0.2162721592
204	0.2162145533
205	0.2160581399
206	0.2160285065
207	0.2159712756
208	0.2158402907
209	0.2157915926
210	0.2157512021
211	0.2156663476
212	0.2156290012
213	0.2153197275
214	0.2150736737
215	0.2146777884
216	0.2145524663
217	0.2143006633
